label,code,class,key
"Calculus of gallbladder and bile duct with acute cholecystitis, with obstruction",57461,ICD,catpreop
"Calculus of gallbladder and bile duct with other cholecystitis, with obstruction",57471,ICD,catpreop
"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, without mention of obstruction",57480,ICD,catpreop
"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, with obstruction",57481,ICD,catpreop
Acute cholecystitis,5750,ICD,catpreop
"Cholecystitis, unspecified",57510,ICD,catpreop
Chronic cholecystitis,57511,ICD,catpreop
Acute and chronic cholecystitis,57512,ICD,catpreop
Perforation of gallbladder,5754,ICD,catpreop
Cholangitis,5761,ICD,catpreop
Acute pancreatitis,5770,ICD,catpreop
Chronic pancreatitis,5771,ICD,catpreop
Hematemesis,5780,ICD,catpreop
Blood in stool,5781,ICD,catpreop
"Hemorrhage of gastrointestinal tract, unspecified",5789,ICD,catpreop
Celiac disease,5790,ICD,catpreop
Other and unspecified postsurgical nonabsorption,5793,ICD,catpreop
Acute renal failure with lesion of tubular necrosis,5845,ICD,catpreop
Acute renal failure with lesion of renal cortical necrosis,5846,ICD,catpreop
Acute renal failure with other specified pathological lesion in kidney,5848,ICD,catpreop
End stage renal disease,5856,ICD,catpreop
Unspecified renal failure,586,ICD,catpreop
Hemorrhage into bladder wall,5967,ICD,catpreop
Gross hematuria,59971,ICD,catpreop
Peyronie's disease,60785,ICD,catpreop
Diffuse cystic mastopathy,6101,ICD,catpreop
Mastodynia,61171,ICD,catpreop
Lump or mass in breast,61172,ICD,catpreop
Oth signs/symptoms in breast,61179,ICD,catpreop
Excessive or frequent menstruation,6262,ICD,catpreop
Other disorder of menstruation and other abnormal bleeding from female genital tract,6268,ICD,catpreop
Postmenopausal bleeding,6271,ICD,catpreop
Lupus erythematosus,6954,ICD,catpreop
Psoriatic arthropathy,6960,ICD,catpreop
Oth psoriasis,6961,ICD,catpreop
Circumscribed scleroderma,7010,ICD,catpreop
Systemic lupus erythematosus,7100,ICD,catpreop
Systemic sclerosis,7101,ICD,catpreop
Sicca syndrome,7102,ICD,catpreop
Unspecified diffuse connective tissue disease,7109,ICD,catpreop
Pyogenic arthritis shoulder,71101,ICD,catpreop
"Pyogenic arthritis, lower leg",71106,ICD,catpreop
Rheumatoid arthritis,7140,ICD,catpreop
Rheumatoid arthritis visceral/syst,7142,ICD,catpreop
Rheumatoid lung,71481,ICD,catpreop
Uns inflammatory polyarthropathy,7149,ICD,catpreop
Uns polyarthrit/arthropth site uns,71650,ICD,catpreop
Effusion of joint shoulder,71901,ICD,catpreop
"Pain in joint, shoulder region",71941,ICD,catpreop
Degenerat thoracic iv disc,72251,ICD,catpreop
Oth syndromes affecting cervical,7238,ICD,catpreop
Pain in thoracic spine,7241,ICD,catpreop
Lumbago,7242,ICD,catpreop
"Thoracic or lumbosacral neuritis or radiculitis, unspecified",7244,ICD,catpreop
Unspecified backache,7245,ICD,catpreop
Other symptoms referable to back,7248,ICD,catpreop
Polymyalgia rheumatica,725,ICD,catpreop
"Other affections of shoulder region, not elsewhere classified",7262,ICD,catpreop
Necrotizing fasciitis,72886,ICD,catpreop
Muscle weakness,72887,ICD,catpreop
Rhabdomyolysis,72888,ICD,catpreop
Rheumatism uns/fibrositis,7290,ICD,catpreop
Uns myalgia/myositis,7291,ICD,catpreop
Panniculitis of other sites,72939,ICD,catpreop
Swelling of limb,72981,ICD,catpreop
"Acute osteomyelitis, site unspecified",73000,ICD,catpreop
"Acute osteomyelitis, lower leg",73006,ICD,catpreop
"Acute osteomyelitis, ankle and foot",73007,ICD,catpreop
"Acute osteomyelitis, other specified site",73008,ICD,catpreop
"Chronic osteomyelitis, pelvic region and thigh",73015,ICD,catpreop
"Chronic osteomyelitis, lower leg",73016,ICD,catpreop
"Chronic osteomyelitis, ankle and foot",73017,ICD,catpreop
"Chronic osteomyelitis, other specified sites",73018,ICD,catpreop
"Unspecified osteomyelitis, site unspecified",73020,ICD,catpreop
"Unspecified osteomyelitis, hand",73024,ICD,catpreop
"Unspecified osteomyelitis, pelvic region and thigh",73025,ICD,catpreop
"Unspecified osteomyelitis, other specified sites",73028,ICD,catpreop
Pathologic fracture of humerus,73311,ICD,catpreop
Pathological fracture vertebrae,73313,ICD,catpreop
Pathologic fracture of neck of femur,73314,ICD,catpreop
Pathologic fracture of other specified part of femur,73315,ICD,catpreop
Pathologic fracture of other specified site,73319,ICD,catpreop
"Aseptic necrosis of bone, site unspecified",73340,ICD,catpreop
Aseptic necrosis of head of humerus,73341,ICD,catpreop
Aseptic necrosis of head and neck of femur,73342,ICD,catpreop
Aseptic necrosis of other bone site,73349,ICD,catpreop
Tietze's disease,7336,ICD,catpreop
Stress fracture of femoral neck,73396,ICD,catpreop
Kyphosis,73710,ICD,catpreop
Scoliosis oth conditions,73743,ICD,catpreop
Acquired deformity chest/rib,7383,ICD,catpreop
Oth acquired deformity back/spine,7385,ICD,catpreop
"Nonallopathic lesion of thoracic region, not elsewhere classified",7392,ICD,catpreop
"Bulbus cordis anomalies and anomalies of cardiac septal closure, common truncus",7450,ICD,catpreop
Complete transposition of great vessels,74510,ICD,catpreop
"Transposition of great vessels, double outlet right ventricle",74511,ICD,catpreop
Corrected transposition of great vessels,74512,ICD,catpreop
Tetralogy of Fallot,7452,ICD,catpreop
"Bulbus cordis anomalies and anomalies of cardiac septal closure, common ventricle",7453,ICD,catpreop
Ventricular septal defect,7454,ICD,catpreop
Ostium secundum type atrial septal defect,7455,ICD,catpreop
Unspecified type congenital endocardial cushion defect,74560,ICD,catpreop
Ostium primum defect,74561,ICD,catpreop
Other congenital endocardial cushion defect,74569,ICD,catpreop
Unspecified congenital defect of septal closure,7459,ICD,catpreop
Unspecified congenital pulmonary valve anomaly,74600,ICD,catpreop
Congenital atresia of pulmonary valve,74601,ICD,catpreop
Congenital stenosis of pulmonary valve,74602,ICD,catpreop
Other congenital anomalies of pulmonary valve,74609,ICD,catpreop
Congenital tricuspid atresia and stenosis,7461,ICD,catpreop
Ebstein's anomaly,7462,ICD,catpreop
Congenital stenosis of aortic valve,7463,ICD,catpreop
Congenital insufficiency of aortic valve,7464,ICD,catpreop
Congenital mitral stenosis,7465,ICD,catpreop
Congenital mitral insufficiency,7466,ICD,catpreop
Hypoplastic left heart syndrome,7467,ICD,catpreop
Congenital subaortic stenosis,74681,ICD,catpreop
Congenital coronary artery anomaly,74685,ICD,catpreop
Congenital heart block,74686,ICD,catpreop
Congenital malposition of heart and cardiac apex,74687,ICD,catpreop
Other specified congenital anomaly of heart,74689,ICD,catpreop
Unspecified congenital anomaly of heart,7469,ICD,catpreop
Patent ductus arteriosus,7470,ICD,catpreop
Coarctation of aorta (preductal) (postductal),74710,ICD,catpreop
Unspecified congenital anomaly of aorta,74720,ICD,catpreop
Congenital atresia and stenosis of aorta,74722,ICD,catpreop
Other congenital anomaly of aorta,74729,ICD,catpreop
Congenital anomalies of pulmonary artery,7473,ICD,catpreop
"Congenital anomaly of the peripheral vascular system, unspecified site",74760,ICD,catpreop
Congenital anomaly of cerebrovascular system,74781,ICD,catpreop
Uns anomaly lung,74860,ICD,catpreop
"Congenital tracheoesophageal fistula, esophageal atresia and stenosis",7503,ICD,catpreop
Anomalies diaphragm,7566,ICD,catpreop
Down's syndrome,7580,ICD,catpreop
Marfan's syndrome,75982,ICD,catpreop
"Other specified multiple congenital anomalies, so described",75989,ICD,catpreop
Respiratory distress syndrome in newborn,769,ICD,catpreop
Coma,78001,ICD,catpreop
Transient alteration of awareness,78002,ICD,catpreop
Other alteration of consciousness,78009,ICD,catpreop
Hallucinations,7801,ICD,catpreop
Syncope and collapse,7802,ICD,catpreop
Dizziness and giddiness,7804,ICD,catpreop
Fever,7806,ICD,catpreop
Fever unspecified,78060,ICD,catpreop
Hypothermia not associated with low environmental temperature,78065,ICD,catpreop
Chronic fatigue syndrome,78071,ICD,catpreop
Other malaise and fatigue,78079,ICD,catpreop
Memory loss,78093,ICD,catpreop
Generalized pain,78096,ICD,catpreop
Altered mental status,78097,ICD,catpreop
Transient paralysis of limb,7814,ICD,catpreop
Localized superficial swelling,7822,ICD,catpreop
Edema,7823,ICD,catpreop
Cyanosis,7825,ICD,catpreop
Spontaneous ecchymoses,7827,ICD,catpreop
Anorexia,7830,ICD,catpreop
Loss of weight,78321,ICD,catpreop
Failure to thrive,78341,ICD,catpreop
Polydipsia,7835,ICD,catpreop
Adult failure to thrive,7837,ICD,catpreop
Headache,7840,ICD,catpreop
Swelling/mass/lump in head/neck,7842,ICD,catpreop
Other speech disturbance,7845,ICD,catpreop
Epistaxis,7847,ICD,catpreop
Jaw pain,78492,ICD,catpreop
Unspecified tachycardia,7850,ICD,catpreop
Palpitations,7851,ICD,catpreop
Undiagnosed cardiac murmurs,7852,ICD,catpreop
Other abnormal heart sounds,7853,ICD,catpreop
Gangrene,7854,ICD,catpreop
Unspecified shock,78550,ICD,catpreop
Cardiogenic shock,78551,ICD,catpreop
Septic shock,78552,ICD,catpreop
Other shock without mention of trauma,78559,ICD,catpreop
Enlargement of lymph nodes,7856,ICD,catpreop
Other symptoms involving cardiovascular system,7859,ICD,catpreop
Unspecified respiratory abnormality,78600,ICD,catpreop
Hyperventilation,78601,ICD,catpreop
Orthopnea,78602,ICD,catpreop
Apnea,78603,ICD,catpreop
Cheyne-Stokes respiration,78604,ICD,catpreop
Shortness of breath,78605,ICD,catpreop
Tachypnea,78606,ICD,catpreop
Wheezing,78607,ICD,catpreop
Other dyspnea and respiratory abnormalities,78609,ICD,catpreop
Stridor,7861,ICD,catpreop
Cough,7862,ICD,catpreop
Hemoptysis,7863,ICD,catpreop
Hemoptysis unspecified,78630,ICD,catpreop
Other hemoptysis,78639,ICD,catpreop
Precordial pain,78651,ICD,catpreop
Painful respiration,78652,ICD,catpreop
"Chest pain, other",78659,ICD,catpreop
Swelling/mass/lump in chest,7866,ICD,catpreop
Abnormal chest sounds,7867,ICD,catpreop
Other symptoms involving respiratory system and chest,7869,ICD,catpreop
Heartburn,7871,ICD,catpreop
Dysphagia,7872,ICD,catpreop
"Abdominal pain, unspecified site",78900,ICD,catpreop
"Abdominal pain, right upper quadrant",78901,ICD,catpreop
"Abdominal pain, left upper quadrant",78902,ICD,catpreop
"Abdominal pain, right lower quadrant",78903,ICD,catpreop
"Abdominal pain, left lower quadrant",78904,ICD,catpreop
"Abdominal pain, periumbilic",78905,ICD,catpreop
"Abdominal pain, epigastric",78906,ICD,catpreop
"Abdominal pain, generalized",78907,ICD,catpreop
"Abdominal pain, other specified site",78909,ICD,catpreop
Abdom/pelvic swelling unsp site,78930,ICD,catpreop
Malignant ascites,78951,ICD,catpreop
Other ascites,78959,ICD,catpreop
"Abdominal tenderness, unspecified site",78960,ICD,catpreop
"Abdominal tenderness, right upper quadrant",78961,ICD,catpreop
"Abdominal tenderness, right lower quadrant",78963,ICD,catpreop
"Abdominal tenderness, left lower quadrant",78964,ICD,catpreop
"Abdominal tenderness, epigastric",78966,ICD,catpreop
"Abdominal tenderness, generalized",78967,ICD,catpreop
"Abdominal tenderness, other specified site",78969,ICD,catpreop
Oth abnormality red blood cells,79009,ICD,catpreop
Elevated sedimentation rate,7901,ICD,catpreop
Other abnormal glucose,79029,ICD,catpreop
Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase (LDH),7904,ICD,catpreop
Other nonspecific abnormal serum enzyme levels,7905,ICD,catpreop
Other abnormal blood chemistry,7906,ICD,catpreop
Bacteremia,7907,ICD,catpreop
Abnormal arterial blood gases,79091,ICD,catpreop
Elevated c-reactive protein,79095,ICD,catpreop
Other nonspecific findings on examination of blood,79099,ICD,catpreop
Nonspecific abnormal findings on radiological and other examination of lung field,7931,ICD,catpreop
Abnormal findings lung field other,79319,ICD,catpreop
Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs,7932,ICD,catpreop
Unsp abnormal mammogram,79380,ICD,catpreop
Mammographic microcalcification,79381,ICD,catpreop
Ot abnormal radiolog exam breast,79389,ICD,catpreop
Nonspecific abnormal electroencephalogram (EEG),79402,ICD,catpreop
Nonspecific abnormal results of pulmonary system function study,7942,ICD,catpreop
Nonspecific abnormal unspecified cardiovascular function study,79430,ICD,catpreop
Nonspecific abnormal electrocardiogram (ECG) (EKG),79431,ICD,catpreop
Other nonspecific abnormal cardiovascular system function study,79439,ICD,catpreop
Nonspecific reaction tb test,7955,ICD,catpreop
Other abnormal tumor markers,79589,ICD,catpreop
Nonspecific abnormal toxicological findings,7960,ICD,catpreop
Nonspecific low blood pressure reading,7963,ICD,catpreop
Hypoxemia,79902,ICD,catpreop
Respiratory arrest,7991,ICD,catpreop
Symptoms involv emotional state,7992,ICD,catpreop
Cachexia,7994,ICD,catpreop
"Closed fracture of base of skull without mention of intracranial injury, unspecified state",80100,ICD,catpreop
"Closed fracture of base of skull without mention of intracranial injury, no loss of consciousness",80101,ICD,catpreop
"Closed fracture of base of skull without mention of intracranial injury, loss of consciousness",80106,ICD,catpreop
"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",80120,ICD,catpreop
"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",80121,ICD,catpreop
"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness)",80122,ICD,catpreop
"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",80126,ICD,catpreop
Fracture cervical vert unsp cl,80500,ICD,catpreop
Fracture c2 vertebra closed,80502,ICD,catpreop
Closed fracture of third cervical vertebra without mention of spinal cord injury,80503,ICD,catpreop
Closed fracture of fourth cervical vertebra without mention of spinal cord injury,80504,ICD,catpreop
Closed fracture of fifth cervical vertebra without mention of spinal cord injury,80505,ICD,catpreop
Fracture c6 vertebra closed,80506,ICD,catpreop
Closed fracture of seventh cervical vertebra without mention of spinal cord injury,80507,ICD,catpreop
Closed fracture of multiple cervical vertebrae without mention of spinal cord injury,80508,ICD,catpreop
Closed fracture of dorsal (thoracic) vertebra without mention of spinal cord injury,8052,ICD,catpreop
Fracture lumbar vertebra close,8054,ICD,catpreop
Vertebral fracture unsp closed,8058,ICD,catpreop
Closed fracture of C1-C4 level with unspecified spinal cord injury,80600,ICD,catpreop
Closed fracture of C5-C7 level with unspecified spinal cord injury,80605,ICD,catpreop
Closed fracture of T7-T12 level with unspecified spinal cord injury,80625,ICD,catpreop
Closed fracture of lumbar spine with spinal cord injury,8064,ICD,catpreop
"Closed fracture of rib(s), unspecified",80700,ICD,catpreop
Closed fracture of one rib,80701,ICD,catpreop
Closed fracture of two ribs,80702,ICD,catpreop
Closed fracture of three ribs,80703,ICD,catpreop
Closed fracture of four ribs,80704,ICD,catpreop
Closed fracture of five ribs,80705,ICD,catpreop
Closed fracture of six ribs,80706,ICD,catpreop
Closed fracture of seven ribs,80707,ICD,catpreop
Closed fracture of eight or more ribs,80708,ICD,catpreop
"Closed fracture of multiple ribs, unspecified",80709,ICD,catpreop
Closed fracture of sternum,8072,ICD,catpreop
Flail chest,8074,ICD,catpreop
Closed fracture of acetabulum,8080,ICD,catpreop
Closed fracture of pubis,8082,ICD,catpreop
Closed fracture of ilium,80841,ICD,catpreop
Closed fracture of ischium,80842,ICD,catpreop
Multiple closed pelvic fractures with disruption of pelvic circle,80843,ICD,catpreop
Unspecified closed fracture of pelvis,8088,ICD,catpreop
Unspecified part of closed fracture of clavicle,81000,ICD,catpreop
Closed fracture of shaft of clavicle,81002,ICD,catpreop
Closed fracture of acromial end of clavicle,81003,ICD,catpreop
Closed fracture of unspecified part of scapula,81100,ICD,catpreop
Closed fracture of glenoid cavity and neck of scapula,81103,ICD,catpreop
Closed fracture of unspecified part of upper end of humerus,81200,ICD,catpreop
Closed fracture of surgical neck of humerus,81201,ICD,catpreop
Closed fracture of anatomical neck of humerus,81202,ICD,catpreop
Closed fracture of greater tuberosity of humerus,81203,ICD,catpreop
Other closed fractures of upper end of humerus,81209,ICD,catpreop
Closed fracture of unspecified part of humerus,81220,ICD,catpreop
Closed fracture of shaft of humerus,81221,ICD,catpreop
Closed fracture of unspecified part of lower end of humerus,81240,ICD,catpreop
Closed fracture of supracondylar humerus,81241,ICD,catpreop
Closed fracture of unspecified condyle(s) of humerus,81244,ICD,catpreop
Other closed fracture of lower end of humerus,81249,ICD,catpreop
Ill-defined closed fractures of upper limb,8180,ICD,catpreop
Closed fracture of unspecified intracapsular section of neck of femur,82000,ICD,catpreop
Closed fracture of epiphysis (separation) (upper) of neck of femur,82001,ICD,catpreop
Closed fracture of midcervical section of femur,82002,ICD,catpreop
Closed fracture of base of neck of femur,82003,ICD,catpreop
Other closed transcervical fracture of femur,82009,ICD,catpreop
Closed fracture of unspecified trochanteric section of femur,82020,ICD,catpreop
Closed fracture of intertrochanteric section of femur,82021,ICD,catpreop
Closed fracture of subtrochanteric section of femur,82022,ICD,catpreop
Open fracture of intertrochanteric section of femur,82031,ICD,catpreop
Closed fracture of unspecified part of neck of femur,8208,ICD,catpreop
Open fracture of unspecified part of neck of femur,8209,ICD,catpreop
Closed fracture of unspecified part of femur,82100,ICD,catpreop
Closed fracture of shaft of femur,82101,ICD,catpreop
Closed fracture of unspecified part of lower end of femur,82120,ICD,catpreop
Closed fracture of femoral condyle,82121,ICD,catpreop
Closed supracondylar fracture of femur,82123,ICD,catpreop
Other closed fracture of lower end of femur,82129,ICD,catpreop
Open fracture of unspecified part of lower end of femur,82130,ICD,catpreop
Open supracondylar fracture of femur,82133,ICD,catpreop
Disloc shoulder unsp closed,83100,ICD,catpreop
Closed anterior dislocation of humerus,83101,ICD,catpreop
Sprain and strain of other specified sites of shoulder and upper arm,8408,ICD,catpreop
Sprain and strain of unspecified site of shoulder and upper arm,8409,ICD,catpreop
Thoracic sprain and strain,8471,ICD,catpreop
Sprain and strain of unspecified site of back,8479,ICD,catpreop
Sprain and strain of ribs,8483,ICD,catpreop
"Concussion, with loss of consciousness of 30 minutes or less",85011,ICD,catpreop
Concussion with loss of consciousness of unspecified duration,8505,ICD,catpreop
Unspecified concussion,8509,ICD,catpreop
"Cerebellar or brain stem contusion without mention of open intracranial wound, no loss of consciousness",85141,ICD,catpreop
"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness",85180,ICD,catpreop
"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness",85181,ICD,catpreop
"Subarachnoid hemorrhage following injury, without mention of open intracranial wound, unspecified state of consciousness",85200,ICD,catpreop
"Subarachnoid hemorrhage following injury, without mention of open intracranial wound, no loss of consciousness",85201,ICD,catpreop
"Subarachnoid hemorrhage following injury, without mention of open intracranial wound, brief loss of consciousness",85202,ICD,catpreop
"Subarachnoid hemorrhage following injury, without mention of open intracranial wound, loss of consciousness",85206,ICD,catpreop
"Subdural hemorrhage following injury, without mention of open intracranial wound, unspecified state of consciousness",85220,ICD,catpreop
"Subdural hemorrhage following injury, without mention of open intracranial wound, no loss of consciousness",85221,ICD,catpreop
"Subdural hemorrhage following injury, without mention of open intracranial wound, brief loss of consciousness",85222,ICD,catpreop
"Subdural hemorrhage following injury, without mention of open intracranial wound, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",85225,ICD,catpreop
"Subdural hemorrhage following injury, without mention of open intracranial wound, loss of consciousness",85226,ICD,catpreop
"Subdural hemorrhage following injury, without mention of open intracranial wound, unspecified state of consciousness",85229,ICD,catpreop
"Extradural hemorrhage following injury, without mention of open intracranial wound, unspecified state of consciousness",85240,ICD,catpreop
"Extradural hemorrhage following injury, without mention of open intracranial wound, no loss of consciousness",85241,ICD,catpreop
"Other and unspecified intracranial hemorrhage following injury, without mention of open intracranial wound, unspecified state of consciousness",85300,ICD,catpreop
"Other and unspecified intracranial hemorrhage following injury, without mention of open intracranial wound, with no loss of consciousness",85301,ICD,catpreop
"Other and unspecified intracranial hemorrhage following injury, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",85302,ICD,catpreop
"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",85305,ICD,catpreop
"Intracranial injury of other and unspecified nature, without mention of open intracranial wound, unspecified state of consciousness",85400,ICD,catpreop
"Intracranial injury of other and unspecified nature, without mention of open intracranial wound, with no loss of consciousness",85401,ICD,catpreop
"Intracranial injury of other and unspecified nature, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",85402,ICD,catpreop
"Intracranial injury of other and unspecified nature, without mention of open intracranial wound, with loss of consciousness of unspecified duration",85406,ICD,catpreop
Traumatic pneumothorax without mention of open wound into thorax,8600,ICD,catpreop
Traumatic hemothorax without mention of open wound into thorax,8602,ICD,catpreop
Traumatic pneumohemothorax without mention of open wound into thorax,8604,ICD,catpreop
Unspecified injury to heart without mention of open wound into thorax,86100,ICD,catpreop
Heart contusion without mention of open wound into thorax,86101,ICD,catpreop
Lung contusion without mention of open wound into thorax,86121,ICD,catpreop
Injury to other specified intrathoracic organs without mention of open wound into cavity,86229,ICD,catpreop
Injury to multiple and unspecified intrathoracic organs without mention of open wound into cavity,8628,ICD,catpreop
Massive parenchymal disruption of spleen without mention of open wound into cavity,86504,ICD,catpreop
Thoracic aorta injury,9010,ICD,catpreop
"Late effect of adverse effect of drug, medical or biological substance",9095,ICD,catpreop
Contusion face/scalp/nck,920,ICD,catpreop
Contusion of breast,9220,ICD,catpreop
Contusion of chest wall,9221,ICD,catpreop
Contusion of abdominal wall,9222,ICD,catpreop
Contusion of unspecified part of trunk,9229,ICD,catpreop
Contusion of shoulder region,92300,ICD,catpreop
Contusion of uns site,9249,ICD,catpreop
Foreign body in trachea,9340,ICD,catpreop
Foreign body in main bronchus,9341,ICD,catpreop
"Foreign body in other specified parts of trachea, bronchus, and lung",9348,ICD,catpreop
C1-C4 level with central cord syndrome,95203,ICD,catpreop
Unspecified site of spinal cord injury without spinal bone injury,9529,ICD,catpreop
Traumatic shock,9584,ICD,catpreop
Uns head injury,95901,ICD,catpreop
Injury face/neck,95909,ICD,catpreop
Other injury of chest wall,95911,ICD,catpreop
Other injury of abdomen,95912,ICD,catpreop
Other injury other sites of trunk,95919,ICD,catpreop
"Injury, other and unspecified, shoulder and upper arm",9592,ICD,catpreop
"Injury, other and unspecified, other specified sites, including multiple",9598,ICD,catpreop
Injury uns site,9599,ICD,catpreop
Poisoning by adrenal cortical steroids,9620,ICD,catpreop
Poisoning by insulins and antidiabetic agents,9623,ICD,catpreop
Poisoning by antiallergic and antiemetic drugs,9630,ICD,catpreop
Poisoning by antineoplastic and immunosuppressive drugs,9631,ICD,catpreop
Poisoning by anticoagulants,9642,ICD,catpreop
"Poisoning by opium (alkaloids), unspecified",96500,ICD,catpreop
Poisoning by heroin,96501,ICD,catpreop
Poisoning by methadone,96502,ICD,catpreop
"Poisoning by opiates and related narcotics, other",96509,ICD,catpreop
Poisoning by salicylates,9651,ICD,catpreop
"Poisoning by aromatic analgesics, not elsewhere classified",9654,ICD,catpreop
Poisoning by propionic acid derivatives,96561,ICD,catpreop
Poisoning by other specified analgesics and antipyretics,9658,ICD,catpreop
Poisoning by unspecified analgesic and antipyretic,9659,ICD,catpreop
Poisoning by hydantoin derivatives,9661,ICD,catpreop
Poisoning by other and unspecified anticonvulsants,9663,ICD,catpreop
Poisoning by barbiturates,9670,ICD,catpreop
Poisoning by other sedatives and hypnotics,9678,ICD,catpreop
Poisoning by unspecified sedative or hypnotic,9679,ICD,catpreop
Poisoning by central nervous system muscle-tone depressants,9680,ICD,catpreop
Poisoning by surface (topical) and infiltration anesthetics,9685,ICD,catpreop
Poisoning by antidepressants,9690,ICD,catpreop
Poisoning antidepressants unspec,96900,ICD,catpreop
Poisoning SSRI,96903,ICD,catpreop
Poisoning tricyclic antidepress,96905,ICD,catpreop
Poisoning antidepressants other,96909,ICD,catpreop
Poisoning by phenothiazine-based tranquilizers,9691,ICD,catpreop
Poisoning by butyrophenone-based tranquilizers,9692,ICD,catpreop
"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",9693,ICD,catpreop
Poisoning by benzodiazepine-based tranquilizers,9694,ICD,catpreop
Poisoning by other tranquilizers,9695,ICD,catpreop
Poisoning by psychodysleptics (hallucinogens),9696,ICD,catpreop
Poisoning by psychostimulants,9697,ICD,catpreop
Poisoning by amphetamines,96972,ICD,catpreop
Poisoning by other specified psychotropic agents,9698,ICD,catpreop
Poisoning by opiate antagonists,9701,ICD,catpreop
Poisoning by other specified central nervous system stimulants,9708,ICD,catpreop
Poisoning by cocaine,97081,ICD,catpreop
Poisoning by parasympathomimetics (cholinergics),9710,ICD,catpreop
Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics,9711,ICD,catpreop
Poisoning by sympathomimetics (adrenergics),9712,ICD,catpreop
Poisoning by sympatholytics (antiadrenergics),9713,ICD,catpreop
Poisoning by cardiac rhythm regulators,9720,ICD,catpreop
Poisoning by cardiotonic glycosides and drugs of similar action,9721,ICD,catpreop
Poisoning by antilipemic and antiarteriosclerotic drugs,9722,ICD,catpreop
Poisoning by coronary vasodilators,9724,ICD,catpreop
Poisoning by other antihypertensive agents,9726,ICD,catpreop
Poisoning by other and unspecified agents primarily affecting the cardiovascular system,9729,ICD,catpreop
Poisoning by other diuretics,9744,ICD,catpreop
"Poisoning by electrolytic, caloric, and water-balance agents",9745,ICD,catpreop
Poisoning by skeletal muscle relaxants,9752,ICD,catpreop
Poisoning by antitussives,9754,ICD,catpreop
Poisoning by other specified drugs and medicinal substances,9778,ICD,catpreop
Poisoning by unspecified drug or medicinal substance,9779,ICD,catpreop
Toxic effect of ethyl alcohol,9800,ICD,catpreop
Toxic effect of isopropyl alcohol,9802,ICD,catpreop
Toxic effect of unspecified alcohol,9809,ICD,catpreop
Toxic effect of other nonpetroleum-based solvents,9828,ICD,catpreop
"Toxic effect of caustic, unspecified",9839,ICD,catpreop
Toxic effect of other specified metals,9858,ICD,catpreop
Toxic effect of carbon monoxide,986,ICD,catpreop
"Toxic effect of other specified gases, fumes, or vapors",9878,ICD,catpreop
"Toxic effect of unspecified gas, fume, or vapor",9879,ICD,catpreop
"Toxic effect of other pesticides, not elsewhere classified",9894,ICD,catpreop
Toxic effect of venom,9895,ICD,catpreop
Toxic effect of tobacco,98984,ICD,catpreop
Toxic effect of other substances,98989,ICD,catpreop
"Toxic effect of unspecified substance, chiefly nonmedicinal as to source",9899,ICD,catpreop
"Effects of radiation, unspecified",990,ICD,catpreop
Effects of hypothermia,9916,ICD,catpreop
Heat stroke and sunstroke,9920,ICD,catpreop
Heat syncope,9921,ICD,catpreop
"Heat exhaustion, anhydrotic",9923,ICD,catpreop
"Heat exhaustion, unspecified",9925,ICD,catpreop
Other specified heat effects,9928,ICD,catpreop
Unspecified effects of heat and light,9929,ICD,catpreop
Other and unspecified effects of high altitude,9932,ICD,catpreop
Effects of lightning,9940,ICD,catpreop
Drowning and nonfatal submersion,9941,ICD,catpreop
Exhaustion due to excessive exertion,9945,ICD,catpreop
Electrocution and nonfatal effects of electric current,9948,ICD,catpreop
Other anaphylactic shock not elsewhere classified,9950,ICD,catpreop
Angioneurotic edema not elsewhere classified,9951,ICD,catpreop
"Other and unspecified adverse effect of drug, medicinal and biological substance",9952,ICD,catpreop
"Unspecified adverse effect of unspecified drug, medicinal and biological substance",99520,ICD,catpreop
Unspecified adverse effect of insulin,99523,ICD,catpreop
"Unspecified adverse effect of other drug, medicinal and biological substance",99529,ICD,catpreop
Sepsis,99591,ICD,catpreop
Severe sepsis,99592,ICD,catpreop
"Mechanical complication of unspecified cardiac device, implant, and graft",99600,ICD,catpreop
Mechanical complication due to cardiac pacemaker (electrode),99601,ICD,catpreop
